,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,tiruchchendur,8.4833,78.1167,25.92,83,44,2.94,IN,1658877968
85,saint george,37.1041,-113.5841,35.7,33,0,2.57,US,1658877797
86,yellowknife,62.456,-114.3525,21.29,52,20,4.12,CA,1658877969
87,luderitz,-26.6481,15.1594,12.68,81,36,2.17,NA,1658877969
88,cherskiy,68.75,161.3,10.09,49,4,4.52,RU,1658877969
89,kitgum,3.2783,32.8867,18.93,94,84,1.3,UG,1658877970
90,qeshm,26.9581,56.2719,27.94,90,100,5.69,IR,1658877970
91,severodvinsk,64.5635,39.8302,16.06,81,28,4.34,RU,1658877970
92,te anau,-45.4167,167.7167,6.05,97,100,1.37,NZ,1658877970
93,hobart,-42.8794,147.3294,10.59,87,20,3.09,AU,1658877971
94,alta floresta,-9.8756,-56.0861,26.74,33,12,1.43,BR,1658877971
95,pangnirtung,66.1451,-65.7125,10.52,68,64,1.63,CA,1658877972
96,bengkulu,-3.8004,102.2655,24.08,86,100,1.1,ID,1658877972
97,tiksi,71.6872,128.8694,11.94,76,67,1.17,RU,1658877972
98,west wendover,40.7391,-114.0733,36.56,8,0,3.09,US,1658877973
99,san patricio,28.017,-97.5169,35.1,44,61,7.83,US,1658877973
100,berestechko,50.3605,25.1107,18.33,95,100,4.69,UA,1658877973
101,chernyshevskiy,63.0128,112.4714,22.84,75,3,1.65,RU,1658877974
102,nizhniy baskunchak,48.2198,46.8311,23.1,52,5,2.47,RU,1658877974
103,katima mulilo,-17.5,24.2667,13.51,47,1,2.47,NA,1658877974
104,ribeira grande,38.5167,-28.7,23.71,84,32,2.56,PT,1658877975
105,bredasdorp,-34.5322,20.0403,10.37,94,80,2.62,ZA,1658877975
106,albany,42.6001,-73.9662,25.23,54,78,0.45,US,1658877940
107,karratha,-20.7377,116.8463,19.09,31,5,4.8,AU,1658877975
108,kenai,60.5544,-151.2583,17.79,60,0,7.72,US,1658877976
109,marau,-28.4492,-52.2,15.66,89,28,1.45,BR,1658877976
110,necochea,-38.5473,-58.7368,10.8,98,100,3.14,AR,1658877976
111,grand gaube,-20.0064,57.6608,20.22,79,8,1.34,MU,1658877977
112,beboto,8.2668,16.939,21.9,94,90,1.24,TD,1658877977
113,yichang,30.7144,111.2847,26.59,89,93,0.81,CN,1658877977
114,kyzyl-suu,42.3414,78.0056,18.63,44,5,1.37,KG,1658877977
115,ancud,-41.8697,-73.8203,9.57,93,94,4.27,CL,1658877978
116,itoman,26.1247,127.6694,29.01,79,40,1.54,JP,1658877978
117,vostok,46.4856,135.8833,22.0,78,0,0.97,RU,1658877978
118,chiredzi,-21.05,31.6667,14.47,65,0,1.1,ZW,1658877979
119,iquique,-20.2208,-70.1431,15.02,81,75,3.46,CL,1658877731
120,dikson,73.5069,80.5464,6.07,97,100,11.24,RU,1658877979
121,coihaique,-45.5752,-72.0662,0.34,86,100,0.0,CL,1658877980
122,crotone,39.0851,17.1178,28.44,62,0,2.5,IT,1658877980
123,bambous virieux,-20.3428,57.7575,20.14,88,75,6.69,MU,1658877980
124,puerto ayora,-0.7393,-90.3518,21.42,90,100,2.24,EC,1658877981
